web-scraper-order,web-scraper-start-url,athlete,athlete-href,opponent1,winLoss,method,competition,weight,stage,year,name,opponent2
"1592275984-6191","https://www.bjjheroes.com/a-z-bjj-fighters-list","Cassio","https://www.bjjheroes.com/?p=6792","Jaime Canuto","W","Pts: 2x0","Rio Summer Open","ABS","SF","2016","Cassio Francis","Jaime Canuto"
"1592276245-6904","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jonathan","https://www.bjjheroes.com/?p=6354","Abraham Marte","W","Pts: 3x0","US National Pro","ABS","F","2016","Jonathan Satava","Abraham Marte"
"1592276281-7136","https://www.bjjheroes.com/a-z-bjj-fighters-list","Brian","https://www.bjjheroes.com/?p=6366","Thiago Macedo","L","Pts: 2x0","Grand Slam LA","69KG","F","2017","Brian Mahecha","Thiago Macedo"
"1592275984-6169","https://www.bjjheroes.com/a-z-bjj-fighters-list","Cassio","https://www.bjjheroes.com/?p=6792","Evandro Resende","W","Wristlock","Panamericano","ABS","F","2015","Cassio Francis","null"
"1592276225-6852","https://www.bjjheroes.com/a-z-bjj-fighters-list","Alec","https://www.bjjheroes.com/?p=6351","Tommy Langaker","L","Adv","London W. Open","ABS","F","2018","Alec Baulding","Tommy Langaker"
"1592275605-5419","https://www.bjjheroes.com/a-z-bjj-fighters-list","Vinicius","https://www.bjjheroes.com/?p=7636","Cody Heller","W","N/A","Atlanta SM Open","ABS","4F","2019","Vinicius Garcia","null"
"1592276097-6311","https://www.bjjheroes.com/a-z-bjj-fighters-list","Dany","https://www.bjjheroes.com/?p=6592","Leandro Lo","L","Cross choke","Pan American","ABS","R2","2016","Dany Gerard","Leandro Lo"
"1592276144-6641","https://www.bjjheroes.com/a-z-bjj-fighters-list","Richard","https://www.bjjheroes.com/?p=6531","Dan Schon","D","---","Elite Submission","85KG","SPF","2014","Richie Martinez","null"
"1592275724-5693","https://www.bjjheroes.com/a-z-bjj-fighters-list","Breno","https://www.bjjheroes.com/?p=7143","Michael Liera","L","Pts: 6x4","San Francisco Open","82KG","F","2018","Breno Bittencourt","Michael Liera"
"1592276265-7056","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Gilson Nunes","L","Pts: 0x0, Adv","Miami Spring Open","76KG","F","2017","Kevin Mahecha","Gilson Nunes"
"1592276107-6458","https://www.bjjheroes.com/a-z-bjj-fighters-list","Francisco","https://www.bjjheroes.com/?p=6563","J. Gracie","L","Choke from back","W.S.O.G.","81KG","F","2018","Francisco Iturralde","Choke from back"
"1592276203-6778","https://www.bjjheroes.com/a-z-bjj-fighters-list","Yan","https://www.bjjheroes.com/?p=6432","Lucas Rocco","W","N/A","Brasilia Open","ABS","R1","2018","Yan “Pica-Pau” Lucas","null"
"1592275605-5396","https://www.bjjheroes.com/a-z-bjj-fighters-list","Vinicius","https://www.bjjheroes.com/?p=7636","Rafael Vasconcelos","L","Points","Orlando Open","ABS","SF","2018","Vinicius Garcia","Rafael Vasconcelos"
"1592275774-5728","https://www.bjjheroes.com/a-z-bjj-fighters-list","Tiago","https://www.bjjheroes.com/?p=7156","Cesar Miahira","W","Pts: 4x2","Dubai BJJ Pro","76KG","SF","2015","Tiago Bravo","null"
"1592275965-6049","https://www.bjjheroes.com/a-z-bjj-fighters-list","Max","https://www.bjjheroes.com/?p=6805","Joao Rocha","L","Pts: 0x0, Adv","Pan American","O100KG","4F","2018","Max Gimenis","Joao Rocha"
"1592275947-5942","https://www.bjjheroes.com/a-z-bjj-fighters-list","Fernando Andrade","https://www.bjjheroes.com/?p=6825","Helio Mourao","W","Pts: 2x0","SA Continental Pro","110KG","4F","2018","Fernando Reis","null"
"1592276107-6397","https://www.bjjheroes.com/a-z-bjj-fighters-list","Francisco","https://www.bjjheroes.com/?p=6563","Murilo Santana","L","Katagatame","Boston Spring Open","ABS","F","2015","Francisco Iturralde","Murilo Santana"
"1592275947-6003","https://www.bjjheroes.com/a-z-bjj-fighters-list","Fernando Andrade","https://www.bjjheroes.com/?p=6825","Fellipe Trovo","L","Referee Decision","Grand Slam RJ","94KG","4F","2019","Fernando Reis","Fellipe Trovo"
"1592276293-7177","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ruan","https://www.bjjheroes.com/?p=6375","Diogo Almeida","W","Points","Rio Summer Open","ABS","4F","2016","Ruan de Oliveira","Diogo Almeida"
"1592276126-6535","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","Jesseray Childrey","W","RNC","Sapateiro 6","ABS","SF","2017","Gordon Ryan","RNC"
"1592275984-6158","https://www.bjjheroes.com/a-z-bjj-fighters-list","Cassio","https://www.bjjheroes.com/?p=6792","Rodrigo Ribeiro","W","Points","Brasileiro CBJJE","ABS","NA","2013","Cassio Francis","Rodrigo Ribeiro"
"1592276203-6794","https://www.bjjheroes.com/a-z-bjj-fighters-list","Yan","https://www.bjjheroes.com/?p=6432","Ygor Rodrigues","W","Pts: 0x0, Adv","Grand Slam RJ","77KG","SF","2019","Yan “Pica-Pau” Lucas","Ygor Rodrigues"
"1592276265-7081","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Chris Kriebel","W","Points","Nashville Open","70KG","SF","2018","Kevin Mahecha","null"
"1592275906-5908","https://www.bjjheroes.com/a-z-bjj-fighters-list","Vinicius","https://www.bjjheroes.com/?p=6976","","","","","","","","Vinicius “Magoo” Canevari",""
"1592276225-6843","https://www.bjjheroes.com/a-z-bjj-fighters-list","Alec","https://www.bjjheroes.com/?p=6351","Joachim Svenson","W","Submission","Swedish Open","88KG","F","2017","Alec Baulding","null"
